epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,5721.87,0.71711,0.33367,0.9059,0.99968,1,0.995,0.83794,0.75739,0.28567,0.91472,0.001274,0.001274,0.001274
46,5868.52,0.69695,0.33146,0.8989,0.9973,1,0.995,0.84713,0.74621,0.27805,0.91368,0.0012575,0.0012575,0.0012575
47,5993.15,0.70632,0.33254,0.90425,0.9998,1,0.995,0.84534,0.74159,0.27713,0.91595,0.001241,0.001241,0.001241
48,6121.9,0.70152,0.328,0.89841,0.99986,1,0.995,0.84995,0.72783,0.26809,0.91144,0.0012245,0.0012245,0.0012245
49,6258.19,0.70878,0.32692,0.90044,0.99982,1,0.995,0.85108,0.73049,0.26514,0.91276,0.001208,0.001208,0.001208
50,6366.73,0.69489,0.32163,0.89549,0.99788,1,0.995,0.85147,0.73208,0.27192,0.91382,0.0011915,0.0011915,0.0011915
51,6524.39,0.71038,0.33068,0.904,0.99784,1,0.995,0.84964,0.73156,0.27328,0.90824,0.001175,0.001175,0.001175
52,6637,0.69756,0.32376,0.89799,0.99971,1,0.995,0.84715,0.72771,0.28819,0.91171,0.0011585,0.0011585,0.0011585
53,6735.44,0.70447,0.33042,0.90034,0.99961,0.998,0.995,0.84631,0.73757,0.27209,0.91546,0.001142,0.001142,0.001142
54,6828.89,0.70244,0.32617,0.89715,0.99586,1,0.99486,0.84913,0.7204,0.26979,0.90487,0.0011255,0.0011255,0.0011255
55,6929.85,0.70424,0.32559,0.89992,0.9996,1,0.995,0.84769,0.72911,0.27124,0.91222,0.001109,0.001109,0.001109
56,7043.69,0.69589,0.31997,0.89784,0.99775,1,0.995,0.84079,0.74928,0.27982,0.9145,0.0010925,0.0010925,0.0010925
57,7201.13,0.7027,0.32567,0.90225,0.99956,1,0.995,0.8522,0.7212,0.27236,0.90655,0.001076,0.001076,0.001076
58,7317.46,0.69769,0.32123,0.89543,0.99978,1,0.995,0.85198,0.73452,0.26731,0.91096,0.0010595,0.0010595,0.0010595
59,7424.13,0.69373,0.31817,0.89831,0.99941,1,0.995,0.85429,0.72916,0.26808,0.91179,0.001043,0.001043,0.001043
60,7545.25,0.69349,0.31633,0.89645,0.99977,1,0.995,0.85138,0.73673,0.27133,0.91548,0.0010265,0.0010265,0.0010265
61,7643.5,0.70253,0.31321,0.90111,0.99899,1,0.995,0.85198,0.7396,0.26978,0.91257,0.00101,0.00101,0.00101
62,7801.67,0.68181,0.31311,0.89461,1,0.99971,0.995,0.85251,0.73142,0.26289,0.90979,0.0009935,0.0009935,0.0009935
63,7911.98,0.68784,0.31429,0.89679,0.99835,1,0.995,0.85054,0.72668,0.26481,0.91111,0.000977,0.000977,0.000977
64,8025.11,0.69108,0.31494,0.89498,0.99977,1,0.995,0.85545,0.71783,0.26507,0.90665,0.0009605,0.0009605,0.0009605
65,8191.73,0.68634,0.31306,0.89697,0.99995,1,0.995,0.8503,0.72802,0.26212,0.9071,0.000944,0.000944,0.000944
66,8325.77,0.67081,0.31244,0.89021,0.99982,1,0.995,0.8508,0.72168,0.26672,0.90823,0.0009275,0.0009275,0.0009275
67,8485.54,0.67311,0.30807,0.89141,0.9979,1,0.995,0.85129,0.72589,0.26679,0.91114,0.000911,0.000911,0.000911
68,8581.12,0.67023,0.30612,0.89111,1,0.9995,0.995,0.85385,0.72042,0.26007,0.90565,0.0008945,0.0008945,0.0008945
69,8750.92,0.67491,0.30851,0.89388,0.99976,0.998,0.995,0.85492,0.72363,0.26344,0.90711,0.000878,0.000878,0.000878
70,8873.69,0.67215,0.30428,0.89282,0.99985,1,0.995,0.85534,0.72519,0.25523,0.90869,0.0008615,0.0008615,0.0008615
71,8969.14,0.68003,0.30452,0.89323,0.99986,1,0.995,0.85608,0.72943,0.25596,0.90811,0.000845,0.000845,0.000845
72,9064.21,0.68071,0.30462,0.89667,0.9997,1,0.995,0.85261,0.72182,0.25197,0.90604,0.0008285,0.0008285,0.0008285
73,9250.33,0.67552,0.3039,0.89359,0.99929,1,0.995,0.85503,0.72743,0.26235,0.90748,0.000812,0.000812,0.000812
74,9365.57,0.67784,0.30611,0.89174,0.99785,1,0.995,0.85589,0.72564,0.25473,0.90654,0.0007955,0.0007955,0.0007955
75,9495.43,0.67263,0.30165,0.89147,0.99767,1,0.995,0.8537,0.72734,0.25529,0.90629,0.000779,0.000779,0.000779
76,9621.44,0.66667,0.30023,0.8913,0.99787,1,0.99482,0.85497,0.72313,0.25719,0.90616,0.0007625,0.0007625,0.0007625
77,9727.09,0.67194,0.29814,0.88944,0.99978,1,0.995,0.85697,0.73201,0.25814,0.9062,0.000746,0.000746,0.000746
78,9875.98,0.66468,0.29666,0.88596,0.99789,1,0.995,0.85628,0.7289,0.25771,0.90767,0.0007295,0.0007295,0.0007295
79,10023.1,0.66129,0.29173,0.88815,0.99785,1,0.995,0.85545,0.71991,0.24848,0.90775,0.000713,0.000713,0.000713
80,10146.9,0.66688,0.29972,0.89133,0.99587,1,0.99498,0.85351,0.71888,0.25199,0.90561,0.0006965,0.0006965,0.0006965
81,10257.3,0.66789,0.2974,0.89081,0.99755,0.998,0.9948,0.85257,0.73081,0.26169,0.90989,0.00068,0.00068,0.00068
82,10353,0.6644,0.29548,0.88934,0.99976,1,0.995,0.84766,0.7283,0.2511,0.90739,0.0006635,0.0006635,0.0006635
83,10446.8,0.6624,0.29272,0.88838,0.99934,1,0.995,0.85189,0.7349,0.25512,0.91078,0.000647,0.000647,0.000647
84,10558,0.65594,0.28987,0.88759,0.99775,1,0.995,0.8541,0.71502,0.24983,0.90479,0.0006305,0.0006305,0.0006305
85,10722.7,0.6645,0.2909,0.88939,0.99923,0.998,0.995,0.85549,0.71815,0.2568,0.90575,0.000614,0.000614,0.000614
86,10837.1,0.65533,0.28582,0.88357,0.99912,1,0.995,0.85844,0.71582,0.24643,0.90346,0.0005975,0.0005975,0.0005975
87,10989.1,0.65121,0.28704,0.88561,0.99975,0.998,0.995,0.8549,0.7271,0.2484,0.90904,0.000581,0.000581,0.000581
88,11106.6,0.66234,0.2875,0.88991,0.998,0.99979,0.995,0.85684,0.72716,0.25259,0.90985,0.0005645,0.0005645,0.0005645
89,11211.7,0.65581,0.29021,0.88803,0.99782,0.998,0.995,0.85481,0.72686,0.25072,0.90947,0.000548,0.000548,0.000548
90,11358.4,0.65201,0.28743,0.88903,0.99983,1,0.995,0.85633,0.72704,0.24889,0.90749,0.0005315,0.0005315,0.0005315
91,11455.4,0.65309,0.28468,0.88626,0.99966,1,0.995,0.85636,0.72901,0.24808,0.91082,0.000515,0.000515,0.000515
92,11549,0.65053,0.28465,0.8858,1,0.99991,0.995,0.85499,0.72243,0.24532,0.90674,0.0004985,0.0004985,0.0004985
93,11705,0.64483,0.2832,0.88459,0.99981,1,0.995,0.85475,0.72541,0.24596,0.90766,0.000482,0.000482,0.000482
94,11938.1,0.6386,0.27755,0.88206,1,0.99974,0.995,0.85884,0.72045,0.24109,0.90709,0.0004655,0.0004655,0.0004655
95,12162,0.6439,0.27977,0.88571,0.99782,0.998,0.995,0.85923,0.72116,0.24584,0.90998,0.000449,0.000449,0.000449
96,12260.2,0.63146,0.27553,0.88088,0.99987,1,0.995,0.8524,0.72887,0.24072,0.90839,0.0004325,0.0004325,0.0004325
97,12398.2,0.63373,0.27576,0.88225,0.99979,1,0.995,0.85686,0.72691,0.24608,0.90722,0.000416,0.000416,0.000416
98,12557.2,0.64065,0.27576,0.88733,0.99779,1,0.995,0.85851,0.72148,0.24287,0.90626,0.0003995,0.0003995,0.0003995
99,12680.4,0.62126,0.27058,0.8791,0.99987,1,0.995,0.85317,0.72557,0.24309,0.90974,0.000383,0.000383,0.000383
100,12802.3,0.62635,0.27097,0.87968,0.99987,1,0.995,0.85708,0.71734,0.24062,0.9048,0.0003665,0.0003665,0.0003665
101,12945.4,0.63246,0.27215,0.88645,0.99987,1,0.995,0.85405,0.7258,0.24202,0.90667,0.00035,0.00035,0.00035
102,13056,0.62648,0.27246,0.88056,0.99985,1,0.995,0.85355,0.72385,0.23928,0.90619,0.0003335,0.0003335,0.0003335
103,13222.5,0.62248,0.26982,0.88005,0.99987,1,0.995,0.85518,0.72422,0.24295,0.90564,0.000317,0.000317,0.000317
104,13360.3,0.62885,0.27106,0.88353,0.99983,1,0.995,0.85921,0.72076,0.24283,0.90713,0.0003005,0.0003005,0.0003005
105,13487.1,0.61493,0.26584,0.87645,0.99985,1,0.995,0.85518,0.72386,0.23812,0.90678,0.000284,0.000284,0.000284
